name,index,red,green,blue,alpha
L_IP0_ROI,13607024,112,160,207,255
L_PFop_ROI,9555387,187,205,145,255
L_PF_ROI,14876671,255,255,226,255
L_PFm_ROI,7498117,133,105,114,255
L_PGi_ROI,3030581,53,62,46,255
L_PGs_ROI,3752766,62,67,57,255
L_V6A_ROI,10901801,41,89,166,255
L_VMV1_ROI,10173758,62,61,155,255
L_VMV3_ROI,10433841,49,53,159,255
L_PHA2_ROI,5855832,88,90,89,255
L_V4t_ROI,8408846,14,79,128,255
L_FST_ROI,10067292,92,157,153,255
L_V3CD_ROI,11939343,15,46,182,255
L_LO3_ROI,10509878,54,94,160,255
L_VMV2_ROI,10567235,67,62,161,255
L_31pd_ROI,2954808,56,22,45,255
L_31a_ROI,8743311,143,105,133,255
L_VVC_ROI,8142133,53,61,124,255
L_25_ROI,923684,36,24,14,255
L_s32_ROI,1385262,46,35,21,255
L_pOFC_ROI,3485772,76,48,53,255
L_PoI1_ROI,6383780,164,104,97,255
L_Ig_ROI,2390894,110,123,36,255
L_FOP5_ROI,6907555,163,102,105,255
L_p10p_ROI,4997209,89,64,76,255
L_p47r_ROI,7371646,126,123,112,255
L_TGv_ROI,2765614,46,51,42,255
L_MBelt_ROI,1580731,187,30,24,255
L_LBelt_ROI,1774313,233,18,27,255
L_A4_ROI,272280,152,39,4,255
L_STSva_ROI,1450280,40,33,22,255
L_TE1m_ROI,2829627,59,45,43,255
L_PI_ROI,3289722,122,50,50,255
L_a32pr_ROI,5717890,130,63,87,255
L_p24_ROI,4858747,123,35,74,255
