from,to
2,1
4,2
5,3
7,4
8,5
10,6
11,7
12,8
13,9
14,10
15,11
16,12
17,13
18,14
24,15
26,16
28,17
30,18
31,19
41,20
43,21
44,22
46,23
47,24
49,25
50,26
51,27
52,28
53,29
54,30
58,31
60,32
62,33
63,34
72,35
77,36
80,37
85,38
