from,to
3001,1
3002,4
3003,4
3005,3
3006,1
3007,1
3008,2
3009,1
3010,2
3011,3
3012,4
3013,3
3014,4
3015,1
3016,1
3017,4
3018,4
3019,4
3020,4
3021,3
3022,2
3023,2
3024,4
3025,2
3026,4
3027,4
3028,4
3029,2
3030,1
3031,2
3032,4
3033,1
3034,1
3035,9
4001,5
4002,8
4003,8
4005,7
4006,5
4007,5
4008,6
4009,5
4010,6
4011,7
4012,8
4013,7
4014,8
4015,5
4016,5
4017,8
4018,8
4019,8
4020,8
4021,7
4022,6
4023,6
4024,8
4025,6
4026,8
4027,8
4028,8
4029,6
4030,5
4031,6
4032,8
4033,5
4034,5
4035,10
