from,to
1,1
2,4
3,4
4,3
5,1
6,1
7,2
8,1
9,2
10,3
11,4
12,3
13,4
14,1
15,1
16,4
17,4
18,4
19,4
20,3
21,2
22,2
23,4
24,2
25,4
26,4
27,4
28,2
29,1
30,2
31,4
32,1
33,1
34,9
35,5
36,8
37,8
38,7
39,5
40,5
41,6
42,5
43,6
44,7
45,8
46,7
47,8
48,5
49,5
50,8
51,8
52,8
53,8
54,7
55,6
56,6
57,8
58,6
59,8
60,8
61,8
62,6
63,5
64,6
65,8
66,5
67,5
68,10
