from,to
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,1
9,4
10,4
11,3
12,1
13,1
14,2
15,1
16,2
17,3
18,4
19,3
20,4
21,1
22,1
23,4
24,4
25,4
26,4
27,3
28,2
29,2
30,4
31,2
32,4
33,4
34,4
35,2
36,1
37,2
38,4
39,1
40,1
41,11
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,6
50,9
51,9
52,8
53,6
54,6
55,7
56,6
57,7
58,8
59,9
60,8
61,9
62,6
63,6
64,9
65,9
66,9
67,9
68,8
69,7
70,7
71,9
72,7
73,9
74,9
75,9
76,7
77,6
78,7
79,9
80,6
81,6
82,12
