name,index,red,green,blue,alpha
R_IP0_ROI,14136171,107,179,215,255
R_PFop_ROI,8964522,170,201,136,255
R_PF_ROI,14548991,255,255,221,255
R_PFm_ROI,8813728,160,124,134,255
R_PGi_ROI,3227190,54,62,49,255
R_PGs_ROI,5001049,89,79,76,255
R_V6A_ROI,11166770,50,100,170,255
R_VMV1_ROI,10898483,51,76,166,255
R_VMV3_ROI,11224362,42,69,171,255
R_PHA2_ROI,6383178,74,102,97,255
R_V4t_ROI,8415501,13,105,128,255
R_FST_ROI,9806921,73,164,149,255
R_V3CD_ROI,13388054,22,73,204,255
R_LO3_ROI,11169080,56,109,170,255
R_VMV2_ROI,11357243,59,76,173,255
R_31pd_ROI,3939150,78,27,60,255
R_31a_ROI,8809357,141,107,134,255
R_VVC_ROI,8867893,53,80,135,255
R_25_ROI,791322,26,19,12,255
R_s32_ROI,594715,27,19,9,255
R_pOFC_ROI,4011341,77,53,61,255
R_PoI1_ROI,6777766,166,107,103,255
R_Ig_ROI,2720364,108,130,41,255
R_FOP5_ROI,7826104,184,106,119,255
R_p10p_ROI,5457500,92,70,83,255
R_p47r_ROI,8026773,149,122,122,255
R_TGv_ROI,3555640,56,65,54,255
R_MBelt_ROI,1708476,188,17,26,255
R_LBelt_ROI,1841368,216,24,28,255
R_A4_ROI,534678,150,40,8,255
R_STSva_ROI,2304049,49,40,35,255
R_TE1m_ROI,3880530,82,54,59,255
R_PI_ROI,4078465,129,59,62,255
R_a32pr_ROI,7164312,152,81,109,255
R_p24_ROI,5319802,122,44,81,255
