index,name,r,g,b
1,none,241,182,176
2,Gnone,233,87,69
3,age,182,205,224
4,Gage,85,147,224
5,agesq,210,233,200
6,Gagesq,142,228,96
7,agesq_age,219,204,226
8,Gagesq_age,172,62,216
9,invage,248,218,172
10,Ginvage,241,153,77
11,logage,255,255,209
12,Glogage,253,251,114
